text,category
"Breaking news: Major earthquake hits city", "news"
"How to cook the perfect pasta", "personal"
"Can someone help me with this math problem?", "question"
"Top 10 travel destinations for 2024", "news"
"My favorite hobbies include hiking and reading", "personal"
"Looking for recommendations on good sci-fi books", "personal"
"What is the best way to learn Python?", "question"
"New movie review: The latest blockbuster", "news"
"Questions about online learning platforms", "question"
"Daily routine tips for a healthier lifestyle", "personal"
